"datasetstring","idstring","messageslist","directionstring","metadatadict"
"doda_few_shot","doda_few_shot_1763","[{""content"": ""ترجم من الدارجة للفصحى: هاد السروال كبير علييّا بزّاف <|assistant|> هذه البنطلونات كبيرة جدًا بالنسبة لي <|user|> ترجم من الدارجة للفصحى: عندي سكرتاير اللي تادّير هادشي. <|assistant|> لدي مساعد للقيام بذلك. <|user|> ترجم من الدارجة للفصحى: علاش ماعندهومش ويسكي سكتلندي? <|assistant|> لماذا لا يمتلكون ويسكي اسكتلندي؟ <|user|> ترجم من الدارجة للفصحى: بغيتي تفرّج ف تلفازا?"", ""role"": ""user""},{""content"": ""هل تود مشاهدة التلفاز؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_12437","[{""content"": ""ترجم من الدارجة للفصحى: ماغاديش يمشي لحتا بلاصا"", ""role"": ""user""},{""content"": ""ليس ذاهبًا إلى أي مكان"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_10985","[{""content"": ""ترجم من الدارجة للفصحى: كاينة بزاف دالشتا كانتمنى يصفى الجو."", ""role"": ""user""},{""content"": ""هناك مطر غزير حقا . أرجو أن يصفو الجو ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_29675","[{""content"": ""ترجم من الدارجة للفصحى: عرفتي شنو"", ""role"": ""user""},{""content"": ""أنت تعلم"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_38411","[{""content"": ""ترجم من الدارجة للفصحى: مازال كاتلعب لپيانو? كانتمنّا"", ""role"": ""user""},{""content"": ""آمل أنك ما زلت تعزف على البيانو؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_25373","[{""content"": ""ترجم من الدارجة للفصحى: غادي نمرض"", ""role"": ""user""},{""content"": ""سأمرض!"", ""role"": ""assistant""}]","dr_msa","null"
"doda_few_shot","doda_few_shot_3461","[{""content"": ""ترجم من الدارجة للفصحى: كانتفرّج ف واحد لڤيديو <|assistant|> أنا أشاهد فيديو <|user|> ترجم من الدارجة للفصحى: أُ هادشي غادي إكون شويا ماشي موناسيب <|assistant|> وذلك سيكون غير لائق بعض الشيء <|user|> ترجم من الدارجة للفصحى: نتا غي مساعد طبّاخ صغير أُحسّن ليك تفكرها <|assistant|> أنت مساعد طاهٍ صغير وعليك أن تتذكر ذلك جيدًا <|user|> ترجم من الدارجة للفصحى: لإجتماع تلغا"", ""role"": ""user""},{""content"": ""تم إلغاء الاجتماع"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_3011","[{""content"": ""ترجم من الدارجة للفصحى: ب ست ميات دولار في الشهر زائد شهر ديال التسبيق، و شهر آخر ديال التسمسيرة ديالنا."", ""role"": ""user""},{""content"": ""ستمائة دولار كل شهر بالإضافة إلى شهر مقدم وقيمة شهر آخر قيمة سمسرتنا ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_10611","[{""content"": ""ترجم من الدارجة للفصحى: بغينا ناخدو طابلة حدا الشرجم."", ""role"": ""user""},{""content"": ""نريد مائدة بجانب النافذة ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_28151","[{""content"": ""ترجم من الدارجة للفصحى: خاسنا ناتحاركو"", ""role"": ""user""},{""content"": ""علينا أن نبادر بالتحرك"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_12659","[{""content"": ""ترجم من الدارجة للفصحى: خود حوايجك الغاليين معاك، عافاك."", ""role"": ""user""},{""content"": ""خذ ممتلكاتك القيمة معك ، من فضلك ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_12739","[{""content"": ""ترجم من الدارجة للفصحى: تقدر تحجز لينا غدا في العشية؟"", ""role"": ""user""},{""content"": ""هل تقوم بالحجز لنا لمساء الغد ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_32351","[{""content"": ""ترجم من الدارجة للفصحى: واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا"", ""role"": ""user""},{""content"": ""يمكن لواحد أو اثنين منكم أن يناقشا هذا الموقف معها"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_28901","[{""content"": ""ترجم من الدارجة للفصحى: متافق, زفّان بلحجر ماغادي يدّينا ل تا بلاصا."", ""role"": ""user""},{""content"": ""أوافق، رمي الحجارة حولنا لن يوصلنا إلى أي مكان."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_521","[{""content"": ""ترجم من الدارجة للفصحى: كيجاك؟"", ""role"": ""user""},{""content"": ""كيف يبدو ذلك بالنسبة لك ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_31307","[{""content"": ""ترجم من الدارجة للفصحى: كنتي كادهدر علييا مورا داهري"", ""role"": ""user""},{""content"": ""لقد كنت تتحدث عني خلف ظهري"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_10243","[{""content"": ""ترجم من الدارجة للفصحى: بالحق الثمن طلع، ياك؟"", ""role"": ""user""},{""content"": ""لكن التكلفة تزداد , أليس كذلك ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_4927","[{""content"": ""ترجم من الدارجة للفصحى: ليومين."", ""role"": ""user""},{""content"": ""لمدة يومين ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_11339","[{""content"": ""ترجم من الدارجة للفصحى: لكورسيي مهرّس"", ""role"": ""user""},{""content"": ""الكرسي مكسور"", ""role"": ""assistant""}]","dr_msa","null"
"doda_multi_turns","doda_multi_turns_491","[{""content"": ""ترجم من الدارجة للفصحى: فيه الضيقا"", ""role"": ""user""},{""content"": ""لديه ربو"", ""role"": ""assistant""},{""content"": ""ترجم: أُلا كيفاش كايتشاف داكشي دابا?"", ""role"": ""user""},{""content"": ""أو كيف يُنظر إلى ذلك الآن؟"", ""role"": ""assistant""},{""content"": ""ترجم: كانعرف وصفة واعرة تلحريرا ديال توم أُلي كانستخدمو فيها ربعين فص ديال التومة"", ""role"": ""user""},{""content"": ""أعرف وصفة جيدة جدًا لحساء الثوم التي تستخدم أربعين فصًا من الثوم"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_11097","[{""content"": ""ترجم من الدارجة للفصحى: معلوم. هاد التلاتة كاملين؟ غادي نشدوهم ليك."", ""role"": ""user""},{""content"": ""بكل تأكيد . عددها جميعا حوالي ثلاث قطع ؟ سوف نحجزها لك ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_3733","[{""content"": ""ترجم من الدارجة للفصحى: سباغا ماط، عفاك."", ""role"": ""user""},{""content"": ""طلاء قاتم من فضلك ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_14657","[{""content"": ""ترجم من الدارجة للفصحى: أشمن طيارة فاش غادي نركب؟"", ""role"": ""user""},{""content"": ""أي رحلة سوف أستقلها في المرة القادمة ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_27599","[{""content"": ""ترجم من الدارجة للفصحى: شكون ديك لبنت مولات الضفيرا?"", ""role"": ""user""},{""content"": ""من تلك الفتاة ذات الضفيرة؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_5055","[{""content"": ""ترجم من الدارجة للفصحى: شنو هوا الشراب الخاص بيكم؟"", ""role"": ""user""},{""content"": ""ما هو الكوكتيل الخصوصي لديكم ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_3951","[{""content"": ""ترجم من الدارجة للفصحى: العشرة و لحضاش من أكتوبر، و الانطلاقة نهار اطناش."", ""role"": ""user""},{""content"": ""العاشر والحادي عشر من أكتوبر ، والمغادرة في الثاني عشر ."", ""role"": ""assistant""}]","dr_msa","null"
"madar_few_shot","madar_few_shot_1785","[{""content"": ""ترجم من الدارجة للفصحى: بغيت شي بلاصة كيقدموفيها الأكل المحلي. <|assistant|> أود أن اذهب إلى مكان ما يمكنني أن أتتناول فيه بعض الطعام المحلي . <|user|> ترجم من الدارجة للفصحى: باش ياخدو المواعيد، كيمشيو للمطاعم. <|assistant|> إنهما يلتقيان في المطاعم . <|user|> ترجم من الدارجة للفصحى: فيه السعرات الحرارية قلال. غير تلاتين سعرة حرارية. <|assistant|> سعراتها الحرارية منخفضة جدا . فقط 30 سعر . <|user|> ترجم من الدارجة للفصحى: واش غادي ناخد شي تعويض ايلا ما لقيتيش الباليزا ديالي؟"", ""role"": ""user""},{""content"": ""هل أحصل على تعويض إذا لم تجدوا حقيبتي ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar_few_shot","madar_few_shot_25","[{""content"": ""ترجم من الدارجة للفصحى: شناهوا م تخصص هذا المطعم اليوم؟ <|assistant|> ما هي الوجبة الخاصة لهذا المطعم اليوم ؟ <|user|> ترجم من الدارجة للفصحى: واش عندك شي غشا كا يمشي معاه؟ <|assistant|> هل لديك حقيبة لتذهب بها . <|user|> ترجم من الدارجة للفصحى: اشحال من وقت يمكن لينا نقيمو هنا؟ <|assistant|> إلى متى ستمكث هنا ؟ <|user|> ترجم من الدارجة للفصحى: خود الخط إي فاتجاه الشارع الرابع و بدل للخط إف."", ""role"": ""user""},{""content"": ""خذ خط إي إلى الشارع الرابع ثم غير إلى خط إف ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_15839","[{""content"": ""ترجم من الدارجة للفصحى: عندنا غير القياس تمنية دابا."", ""role"": ""user""},{""content"": ""لدينا مقاس ثمانية فقط الآن ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1839","[{""content"": ""ترجم من الدارجة للفصحى: اشمن نوع دالطبخ كيعجبك؟"", ""role"": ""user""},{""content"": ""أي نوع من الطعام تفضل ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1849","[{""content"": ""ترجم من الدارجة للفصحى: غادي تلقاه فاللخر ديال اللوبي."", ""role"": ""user""},{""content"": ""تجدها في نهاية هذه الردهة ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1851","[{""content"": ""ترجم من الدارجة للفصحى: وقف هنايا عفاك و تسناني نصور القنطرا ديال واتيرلو."", ""role"": ""user""},{""content"": ""من فضلك توقف و انتظر حتى أخذ صورة جسر واترلوو ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_23495","[{""content"": ""ترجم من الدارجة للفصحى: ملي كانشوف لون حمار,كانشوف لخدار حتا هووا"", ""role"": ""user""},{""content"": ""عندما أرى الأخضر، أرى الأحمر أيضًا"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_9639","[{""content"": ""ترجم من الدارجة للفصحى: واش مقهى هارد روك بعيد من هنا؟"", ""role"": ""user""},{""content"": ""هل مقهى هارد روك بعيداً عن هنا ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_29135","[{""content"": ""ترجم من الدارجة للفصحى: خصّني نطايّيب"", ""role"": ""user""},{""content"": ""عليّ أن أطبخ"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_17927","[{""content"": ""ترجم من الدارجة للفصحى: تسباح علا خير"", ""role"": ""user""},{""content"": ""تصبح على خير"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_21413","[{""content"": ""ترجم من الدارجة للفصحى: فيكرا مازيانا!"", ""role"": ""user""},{""content"": ""يا لها من فكرة جيدة!"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_32669","[{""content"": ""ترجم من الدارجة للفصحى: كانفيق عييّان"", ""role"": ""user""},{""content"": ""أستيقظ متعبًا"", ""role"": ""assistant""}]","dr_msa","null"
"madar_few_shot","madar_few_shot_521","[{""content"": ""ترجم من الدارجة للفصحى: دابا، منين خاصني نخرج باش نمشي ل كارنيجي هول؟ <|assistant|> الآن ، أيّ مخرج آخذ لكارنيجي هول ؟ <|user|> ترجم من الدارجة للفصحى: شكونهاد لمرا؟ <|assistant|> من تكون هذه السيدة ؟ <|user|> ترجم من الدارجة للفصحى: واش يمكن ليك توصلني لأقرب مركز ديال الشرطة؟ <|assistant|> هل يمكن أن تأخذني إلى أقرب نقطة شرطة ؟ <|user|> ترجم من الدارجة للفصحى: بغيت استمارة للتيليغرام، عافاك."", ""role"": ""user""},{""content"": ""أبغي نموذج تلغراف ، من فضلك ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_20081","[{""content"": ""ترجم من الدارجة للفصحى: أُه نتا ولا أنا?"", ""role"": ""user""},{""content"": ""عليك أم عليّ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_8877","[{""content"": ""ترجم من الدارجة للفصحى: كا نتمناو بلي بتأسيس سهولة استعمال الحواسيب الصغيرة في بلاصة هاد المجال المهمول غادي ندعمو البيع ديالهم من منافد تعليمية."", ""role"": ""user""},{""content"": ""نأمل في زيادة مبيعات أجهزة الميكروكمبيوتر في منافذ البيع التعليمية من خلال ترسيخ استخدامها في هذا المجال المهمل ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_6241","[{""content"": ""ترجم من الدارجة للفصحى: واش اخمسطاش أو لا اسطاش ماي؟"", ""role"": ""user""},{""content"": ""مايو خمسة عشرة وستة عشر ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar_multi_turns","madar_multi_turns_535","[{""content"": ""ترجم من الدارجة للفصحى: واخا. غادي ناخد شابليس. وانتي، جان؟"", ""role"": ""user""},{""content"": ""حسناً . سأطلب نبيذ تشابليس . وأنت ، يا جين ؟"", ""role"": ""assistant""},{""content"": ""ترجم: واش ممكن توريني كيفاش نستعمل المنبه؟"", ""role"": ""user""},{""content"": ""هل لك أن تخبرني عن طريقة استخدام ساعة الحائط ؟"", ""role"": ""assistant""},{""content"": ""ترجم: حتا انا كانمشي نعس معا لعشرا د ليل و كانطيح دودا."", ""role"": ""user""},{""content"": ""عادة أدخل السرير حوالي عشرة ، وأنام مباشرة ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_17393","[{""content"": ""ترجم من الدارجة للفصحى: ماغاديش نحتاجو شاهادا جاميعييا باش نبدالو سولوك لياومي ديالنا"", ""role"": ""user""},{""content"": ""لا نحتاج إلى شهادة جامعية لتغيير سلوكه يوميًا"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_9387","[{""content"": ""ترجم من الدارجة للفصحى: سرقو ليا صاكي مقابل مع الأوطيل اللي قريب من هنا."", ""role"": ""user""},{""content"": ""لقد سُرقت حقيبة يدي مني أمام الفندق بالقرب من هنا ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_9265","[{""content"": ""ترجم من الدارجة للفصحى: ماكاين حتى شي جريح خطير."", ""role"": ""user""},{""content"": ""لم يصب أحد إصابة خطيرة ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_7195","[{""content"": ""ترجم من الدارجة للفصحى: هادا غادي يكون باتمنطاش دولار للطابع. هاهو البيان الجمركي للطرد ديالك."", ""role"": ""user""},{""content"": ""ثمانية عشر دولاراً للطوابع . هذا بيان جمارك للطرد الخاص بك ."", ""role"": ""assistant""}]","dr_msa","null"
"doda_few_shot","doda_few_shot_5219","[{""content"": ""ترجم من الدارجة للفصحى: كوالد, ماخصش إكونو عندك ولاد مفضّلين <|assistant|> كوالد، يُفترض ألا يكون لديك مفضلين <|user|> ترجم من الدارجة للفصحى: غادي نجبد لكارطا ديالي من دابا داقيقا <|assistant|> سأخرج بطاقاتي بعد دقيقة. <|user|> ترجم من الدارجة للفصحى: إلا طلعنا ف هاد لهاضابا غادي تولي عندنا شوفا مزيانا أُ ل ڤيلاج أيكون مضووّي إدان غادي نشوفوه ب سوهولا باش نعرفو ل إتّيجاه لي أنمشيو فيه. <|assistant|> الصعود إلى تلك الهضبة سيمنحنا الرؤية الصحيحة ووستكون القريه مضاءة بحيث يمكننا رؤيته بسهولة لنتجه في الاتجاه الصحيح. <|user|> ترجم من الدارجة للفصحى: تفرج ف يوتوب أُ سمع لراديو, هادو ساهلين"", ""role"": ""user""},{""content"": ""شاهد يوتيوب، استمع إلى الراديو، هذان سهلان"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_8939","[{""content"": ""ترجم من الدارجة للفصحى: كانتمنّا مايكونش هادشي!"", ""role"": ""user""},{""content"": ""آمل ألا يفعل ذلك!"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_1235","[{""content"": ""ترجم من الدارجة للفصحى: فين غاتسافر?"", ""role"": ""user""},{""content"": ""إلى أين أنت مسافر؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1343","[{""content"": ""ترجم من الدارجة للفصحى: غادي نخلص ليك تلتميات دولار بشيكات سياحية."", ""role"": ""user""},{""content"": ""إذن ، سأدفع لك ثلاثمائة دولار قيمة شيكات سياحية ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1003","[{""content"": ""ترجم من الدارجة للفصحى: ادخل، ميتسورو."", ""role"": ""user""},{""content"": ""هيا ، يا ميتسورو ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_24449","[{""content"": ""ترجم من الدارجة للفصحى: أنا ماخايفش."", ""role"": ""user""},{""content"": ""أنا لست خائفاً."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_3455","[{""content"": ""ترجم من الدارجة للفصحى: عيّقتي"", ""role"": ""user""},{""content"": ""يكفي"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1581","[{""content"": ""ترجم من الدارجة للفصحى: فين هو القسم ديال الكتاب الواقعي؟"", ""role"": ""user""},{""content"": ""أين الجانب غير الخيالي في شخصيتك ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_12749","[{""content"": ""ترجم من الدارجة للفصحى: واش كنتي كاتشرب?"", ""role"": ""user""},{""content"": ""هل كنت تشرب؟"", ""role"": ""assistant""}]","dr_msa","null"
"flores+","flores+_485","[{""content"": ""ترجم من الدارجة للفصحى: اللاعب ديال هاد اليوم هو أليكس اوفيتشكين من واشنطن العاصمة."", ""role"": ""user""},{""content"": ""لاعبنا لليوم أليكس أوفيتشكين وهو أحد لاعبي فريق واشنطن كابيتالز."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_18905","[{""content"": ""ترجم من الدارجة للفصحى: والاكين دابا منين عرف القوة ديالو، راه تابع صحاباتي حيت لقاهوم بنات"", ""role"": ""user""},{""content"": ""ومع ذلك، الآن بعد أن أصبح على دراية بقوته، فهو يلاحق أصدقائي أيضًا لأنهن فتيات"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_5015","[{""content"": ""ترجم من الدارجة للفصحى: كولّا عام"", ""role"": ""user""},{""content"": ""كل عام"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_14621","[{""content"": ""ترجم من الدارجة للفصحى: واش هاد التذكرة صالحة غير لليوم المحدد؟"", ""role"": ""user""},{""content"": ""هل هذه التذكرة سارية فقط لليوم المحدد ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_7963","[{""content"": ""ترجم من الدارجة للفصحى: المرحاض خاسر، عافاك صيفط شي واحد."", ""role"": ""user""},{""content"": ""المرحاض لا يغسل . من فضلك أرسل أحد إلى أعلى ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_24515","[{""content"": ""ترجم من الدارجة للفصحى: راه داروري نختابر لقالاق ديالك"", ""role"": ""user""},{""content"": ""من المهم أن أختبر اهتمامك"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_20399","[{""content"": ""ترجم من الدارجة للفصحى: أنا من أڭادير"", ""role"": ""user""},{""content"": ""أنا من أغادير"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_7801","[{""content"": ""ترجم من الدارجة للفصحى: طلبك؟ اشنو بغيتي تشرب؟"", ""role"": ""user""},{""content"": ""ما طلبك ؟ أتود مشروبا ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_13631","[{""content"": ""ترجم من الدارجة للفصحى: كايصلّي فلوقت"", ""role"": ""user""},{""content"": ""يصلي في وقته"", ""role"": ""assistant""}]","dr_msa","null"
"flores+","flores+_1919","[{""content"": ""ترجم من الدارجة للفصحى: كاع الافراد و المشاركين اكتاشفو بعمق اكثر القيم، زيد عليها الرسالة و القوى الي كتدفع المنظمة بعد ما قيمو النجاحات و وعاو بالاخفاقات"", ""role"": ""user""},{""content"": ""يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها و ما يدفعها من قوى."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_13823","[{""content"": ""ترجم من الدارجة للفصحى: الاسم العالي ديالي هو ياماغوشي . ي ا م ا غ و ش ي."", ""role"": ""user""},{""content"": ""اسم العائلة ياما جوشي . ي ا م ا ج و ش ي ."", ""role"": ""assistant""}]","dr_msa","null"
"doda_few_shot","doda_few_shot_5249","[{""content"": ""ترجم من الدارجة للفصحى: خصّك تحبس ل قمر <|assistant|> عليك أن تتوقف عن القمار <|user|> ترجم من الدارجة للفصحى: علا حساب لجوو. <|assistant|> ذلك يعتمد على الطقس. <|user|> ترجم من الدارجة للفصحى: ماعرافتش أش كاتقساد <|assistant|> لا أعرف ما تقصد <|user|> ترجم من الدارجة للفصحى: باش نكونو واضحين"", ""role"": ""user""},{""content"": ""لكي أكون واضحًا"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_13153","[{""content"": ""ترجم من الدارجة للفصحى: نعم، عندنا، بلحاق مانقدروش نبيعوه."", ""role"": ""user""},{""content"": ""أجل ، عندنا ، لكن لا نستطيع بيعهم ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_3491","[{""content"": ""ترجم من الدارجة للفصحى: ماعندي التا شي باتري"", ""role"": ""user""},{""content"": ""ليس لدي أي بطارية"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_6527","[{""content"": ""ترجم من الدارجة للفصحى: عتيه بتّيساع"", ""role"": ""user""},{""content"": ""اتركه وحيدًا"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_7131","[{""content"": ""ترجم من الدارجة للفصحى: اشنو هاد الشي اللي احدى جسر بروكلين؟"", ""role"": ""user""},{""content"": ""ما ذلك الذي أمام جسر بروكلين ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_33767","[{""content"": ""ترجم من الدارجة للفصحى: حلّيتي ديالك مازال?"", ""role"": ""user""},{""content"": ""هل فتحت الخاص بك بعد؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_3051","[{""content"": ""ترجم من الدارجة للفصحى: وريني شي صبابط قهويين."", ""role"": ""user""},{""content"": ""دعني أشاهد بعض الأحذية بنية اللون ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_3873","[{""content"": ""ترجم من الدارجة للفصحى: لقيت شقة و أنا كا نقلب في الانترنيت."", ""role"": ""user""},{""content"": ""وجدت شقة من خلال البحث على الإنترنت ."", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_36185","[{""content"": ""ترجم من الدارجة للفصحى: هوا ماخادامش فهاد لواقت"", ""role"": ""user""},{""content"": ""إنه عاطل عن العمل في الوقت الحالي"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_9987","[{""content"": ""ترجم من الدارجة للفصحى: شكون للي غادي يدوز هاد الليلة؟"", ""role"": ""user""},{""content"": ""من المتحدث الليلة ؟"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_13781","[{""content"": ""ترجم من الدارجة للفصحى: فيا لعطش"", ""role"": ""user""},{""content"": ""أنا عطشان"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_13981","[{""content"": ""ترجم من الدارجة للفصحى: راها مسألة حياة أو موت."", ""role"": ""user""},{""content"": ""إنها مسألة حياة أو موت ."", ""role"": ""assistant""}]","dr_msa","null"
"flores+","flores+_2627","[{""content"": ""ترجم من الدارجة للفصحى: بدا لحتجاج مع ديك ل 11:00 فالتوقيت لمحلي (UCT+1) ف وايتهول مقابلة من دخلة د داونين ستريت اللي عاسين عليها لبوليس، السكن الرسمي نتاع رئيس الوزراء."", ""role"": ""user""},{""content"": ""بدأ الاحتجاج حوالي الساعة 11:00 بالتوقيت المحلي (UTC+1) في ""وايتهول"" في الاتجاه المقابل لشارع ""داونينج"" الذي تحرسه الشرطة وهو المقر الرسمي لرئيس الوزراء."", ""role"": ""assistant""}]","dr_msa","null"
