"dataset string","id string","messages list","direction string","metadata dict"
"madar","madar_15176","[{""content"": ""ترجم من الفصحى للدارجة: أطلب بيرة . أي نوع من البيرة عندكم ؟"", ""role"": ""user""},{""content"": ""بغيت ناخد واحد البيرة. اشمن أنواع دالبيرات عندك؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_39316","[{""content"": ""ترجم من الفصحى للدارجة: سيتوجب عليك الاحتفاظ بالنبيذ والسيجار كسر"", ""role"": ""user""},{""content"": ""غادي إخسّك تاحتافد ب نابيد أُ لڭارو كا سيرّ"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_22720","[{""content"": ""ترجم من الفصحى للدارجة: كما قلت"", ""role"": ""user""},{""content"": ""كيمّا ڭلت ليك"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1248","[{""content"": ""ترجم من الفصحى للدارجة: أريد دلواً ."", ""role"": ""user""},{""content"": ""بغيت سطل."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_9058","[{""content"": ""ترجم من الفصحى للدارجة: أود أن أسترجع منقولاتي الثمينة ، من فضلك ."", ""role"": ""user""},{""content"": ""بغيت نسترجع أغراضي التمينة، عافاك."", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1496","[{""content"": ""ترجم من الفصحى للدارجة: المراهقون اليابانيون يهتمّون بالموضة . <|assistant|> لموراهيقين ديال اليابان شحال عزيزا عليهم لا مود. <|user|> ترجم من الفصحى للدارجة: أنا أريد تذكرة ذهاب وعودة إلى محطة "" س "" من فضلك . <|assistant|> بغيت تذكرة ذهاب وإياب ديال المحطة ""إس""، عافاك. <|user|> ترجم من الفصحى للدارجة: الجرح أصبح ملتهبا . <|assistant|> الجرحا تعادات. <|user|> ترجم من الفصحى للدارجة: ما هو حساء اليوم ؟"", ""role"": ""user""},{""content"": ""اشنو هو حساء اليوم؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda_few_shot","doda_few_shot_1954","[{""content"": ""ترجم من الفصحى للدارجة: آسف، لم أسمع بوضوح. <|assistant|> سمح ليا, ماسمعتش مزيان. <|user|> ترجم من الفصحى للدارجة: بسببك <|assistant|> بسبابك <|user|> ترجم من الفصحى للدارجة: آخر شيء <|assistant|> أخير حاجة <|user|> ترجم من الفصحى للدارجة: أرى!"", ""role"": ""user""},{""content"": ""معقولا"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_5584","[{""content"": ""ترجم من الفصحى للدارجة: اثنان بالغان وطفل واحد , من فضلك . بالمناسبة , ماذا يعني إرشاد أبوي لمن دون الخامسة عشر ؟"", ""role"": ""user""},{""content"": ""جوج بالغين و واحد الطفل، عافاك. بالمناسبة، شنو كايعني هاد بي جي اخمسطاش؟"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_4562","[{""content"": ""ترجم من الفصحى للدارجة: أريد الملابس مغسولة في وقت ما اليوم ."", ""role"": ""user""},{""content"": ""عافاك بغيت حوايجي يتصبنو فشي وقيتة ليوم."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_3534","[{""content"": ""ترجم من الفصحى للدارجة: إنه يغادر كل عشرة دقائق ."", ""role"": ""user""},{""content"": ""كايمشي كل عشرة دالدقايق."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_6004","[{""content"": ""ترجم من الفصحى للدارجة: هل يمكنني تحديد موعد للأربعاء القادم؟"", ""role"": ""user""},{""content"": ""مومكين نشدّ ماوعيد ل لاربع الجاي?"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_12444","[{""content"": ""ترجم من الفصحى للدارجة: هل أخبرتني من فضلك عن نظام النقل هنا ؟ أحب أن أسافر حول البلد ."", ""role"": ""user""},{""content"": ""واش تقدر تشرح ليا نظام النقل؟ بغيت نسافر فالبلاد."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_6870","[{""content"": ""ترجم من الفصحى للدارجة: حسناً ، سنة التخرج هي عامك الرابع في الكلية بعد الصف الأول ثم الثاني فالثالث ."", ""role"": ""user""},{""content"": ""ايوا، سينيور هو عامك الرابع من الدراسة الجامعية من بعد طالب السنة الاولى، طالب السنة التانية و طالب السنة التالتة."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_9688","[{""content"": ""ترجم من الفصحى للدارجة: أريد تناول وجبة عشاء بأقل من ثلاثين دولاراً بما في ذلك المشروبات ."", ""role"": ""user""},{""content"": ""بغيت نتعشى بتلاتين دولار داخلة فيها حتى المشروبات."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_13616","[{""content"": ""ترجم من الفصحى للدارجة: آسف . نحن لا نصنع أي حجوزات ."", ""role"": ""user""},{""content"": ""أنا متأسف، ما كنخدوش الحجز."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_10270","[{""content"": ""ترجم من الفصحى للدارجة: متى يمكنني أن أحضر لكي أراه ؟"", ""role"": ""user""},{""content"": ""في أي وقت خاصني نجي نشوفو؟"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1882","[{""content"": ""ترجم من الفصحى للدارجة: أوه ، بعض من رقائق البسكويت المملح . وهل بمقدوري إلقاء نظرة على فاتورة الحساب ؟ <|assistant|> أوو، لي باط. واخا نبدا اللوحا؟ <|user|> ترجم من الفصحى للدارجة: هل يمكنني إرفاق هذا الخطاب فيه ؟ <|assistant|> واش نقدر نضيف هاد الرسالة فيه؟ <|user|> ترجم من الفصحى للدارجة: إنه هناك بالضبط . من فضلك لا بأس أن تأخذ واحدة . <|assistant|> راه غير لهيها. عافاك ماتترددش تاخد واحد. <|user|> ترجم من الفصحى للدارجة: هل لديك جولة تشمل زيارة لجسر البوابة الذهبية ؟"", ""role"": ""user""},{""content"": ""واش عندكم شي خرجة للجسر ديال كولدن بريدج؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_39340","[{""content"": ""ترجم من الفصحى للدارجة: إذا شربت المزيد من الكحول قد أتقيأ عليك."", ""role"": ""user""},{""content"": ""إلا زتّ شرابت نقدار نرضّ عليك."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_4404","[{""content"": ""ترجم من الفصحى للدارجة: هل يمكنك أن تخبرني عن الطريق إلى يونيون سكوير ؟"", ""role"": ""user""},{""content"": ""ممكن توريني الطريق ليونيون سكوير؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_36010","[{""content"": ""ترجم من الفصحى للدارجة: أتمنى أن يمنحك الله الصحة أيضًا"", ""role"": ""user""},{""content"": ""الله إعطيك صحّا"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1582","[{""content"": ""ترجم من الفصحى للدارجة: اليابان بلد ممتد طوليا من الشمال إلى الجنوب . <|assistant|> اليابان بلاد كبيرة كمتد من الشمال للجنوب. <|user|> ترجم من الفصحى للدارجة: أريد حذاء بنعل مطاط , من فضلك . <|assistant|> بغيت صباط فيه فراش ديال الكومة، عافاك. <|user|> ترجم من الفصحى للدارجة: أمتعتي ثلاث كيلو جرامات أثقل من اللازم . <|assistant|> زايدا عندي تلاتا كيلو ف لباغاج ديالي. <|user|> ترجم من الفصحى للدارجة: كم قيمة رسوم التبديل ؟"", ""role"": ""user""},{""content"": ""اشحال تكلفة التغيير؟"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_7566","[{""content"": ""ترجم من الفصحى للدارجة: إن الجرائد لا تمانع في أن تذكر قرائها يوم الثاني من ديسمبر بأنّه "" اليوم الذي بدأت الحرب فيه "" ."", ""role"": ""user""},{""content"": ""الجرائد ما كتهتمشي تذكر القراء باللي تمنية دجنبر""كان هو اليوم اللي اعلنا فيه الحرب""."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_42820","[{""content"": ""ترجم من الفصحى للدارجة: اتصل بشخص ما"", ""role"": ""user""},{""content"": ""عيط علا شي حدّ"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_12622","[{""content"": ""ترجم من الفصحى للدارجة: بوسعك أخذها عند بوابة المغادرة ."", ""role"": ""user""},{""content"": ""تقدر تاخد هاد الشي فبوابة الركوب."", ""role"": ""assistant""}]","msa_dr","null"
"doda_few_shot","doda_few_shot_1114","[{""content"": ""ترجم من الفصحى للدارجة: لقد سمعت أن اللحم ليس جيدا بالنسبة لهم <|assistant|> سماعت بلي لحم مامزياناش ليهوم <|user|> ترجم من الفصحى للدارجة: لم تأخذ أي مال مني <|assistant|> ماغاديش تاخاد حتا شي فلوس من عندي <|user|> ترجم من الفصحى للدارجة: هل رأيت ما رأيت؟ <|assistant|> واش شفتي داكشي اللي شفت? <|user|> ترجم من الفصحى للدارجة: من فضلك، أحضر لي شاي"", ""role"": ""user""},{""content"": ""جيب لييا أتاي عافاك"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_9752","[{""content"": ""ترجم من الفصحى للدارجة: أنا آن بروان ."", ""role"": ""user""},{""content"": ""أنا آن براون."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_5792","[{""content"": ""ترجم من الفصحى للدارجة: هذه الغرفة رقم ثلاثة ، سبعة وخمسون . وأريد مزيد من منعم الشعر ."", ""role"": ""user""},{""content"": ""هادي الغرفة تلاتة سبعة وخمسين. محتاج للمزيد من مابعد الشامبو."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_4266","[{""content"": ""ترجم من الفصحى للدارجة: هل لك أن تخبرني قيمة المبلغ ؟"", ""role"": ""user""},{""content"": ""تقدر تقول ليا شحال المبلغ؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_32992","[{""content"": ""ترجم من الفصحى للدارجة: ذلك هو المحيط الهادئ"", ""role"": ""user""},{""content"": ""هادا هوا المحيط الهادي"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_14104","[{""content"": ""ترجم من الفصحى للدارجة: من فضلك ارشدنا إلى مطعم جيد قريب ."", ""role"": ""user""},{""content"": ""عافاك انصحني بشي مطعم ازوين يكون قريب."", ""role"": ""assistant""}]","msa_dr","null"
"doda_few_shot","doda_few_shot_1174","[{""content"": ""ترجم من الفصحى للدارجة: قهوة بالحليب <|assistant|> لقهوا بلحليب <|user|> ترجم من الفصحى للدارجة: نعم، لدي ممحاتك أيضًا <|assistant|> أه عندي حتّا لڭوما ديالك <|user|> ترجم من الفصحى للدارجة: هل ترغب في الماء أو الحليب؟ <|assistant|> بغيتي لما أُلا لحليب <|user|> ترجم من الفصحى للدارجة: أنا مندهش أنك تعرف الكايبيرينها"", ""role"": ""user""},{""content"": ""أنا مصدوم حيت كاتعراف كايپيرينها"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_31762","[{""content"": ""ترجم من الفصحى للدارجة: عذرًا، لا نقدم هذا الطبق حتى الظهر"", ""role"": ""user""},{""content"": ""سمح ليا, حنا ماكانقادمو هاد طبق حتا ل الظهر"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_37648","[{""content"": ""ترجم من الفصحى للدارجة: نحن لم نستجب، بحسب قولهم، لجميع متطلباتهم التقنية"", ""role"": ""user""},{""content"": ""حنا ماكانستاجبوش, علا حساب هدارتهوم, ل ڭاع ألموتاتلّابات التيقنيا ديالهوم."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_4686","[{""content"": ""ترجم من الفصحى للدارجة: أريد بعض الجل المصفف للشعر ."", ""role"": ""user""},{""content"": ""بغيت شي جيل ديال الشعر."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1408","[{""content"": ""ترجم من الفصحى للدارجة: باستثناء الإفطار والعشاء ؟"", ""role"": ""user""},{""content"": ""بلا فطور و بلا عشا؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_43594","[{""content"": ""ترجم من الفصحى للدارجة: ذهب إلى متحف العلوم"", ""role"": ""user""},{""content"": ""مشا ل متحف ل عولوم"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_14680","[{""content"": ""ترجم من الفصحى للدارجة: اتصل بشركة تأمين ، من فضلك ؟"", ""role"": ""user""},{""content"": ""اتصل بشركة التأمين، عافاك."", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1844","[{""content"": ""ترجم من الفصحى للدارجة: هل يوجد شخص ما هنا يمكنه أن يتحدث الإنجليزية ؟ <|assistant|> كاين شي واحد هنايا كايهدر ب لونغلي؟ <|user|> ترجم من الفصحى للدارجة: نقداً أو بالبطاقة ؟ <|assistant|> بلفلوس ولا ب لا كارط؟ <|user|> ترجم من الفصحى للدارجة: إنها غير متاحة في المحلات . <|assistant|> ما كاينش في الصطوك. <|user|> ترجم من الفصحى للدارجة: أعتقد أن هذه الأرقام لم يتم إضافتها ."", ""role"": ""user""},{""content"": ""كنظن كاين شي غلط فجمع هاد الأرقام."", ""role"": ""assistant""}]","msa_dr","null"
"flores+","flores+_1312","[{""content"": ""ترجم من الفصحى للدارجة: ومع ذلك، ففي ماليزيا، وعلى الأقل بين الملايو في الأرياف، يعني ذلك ""تعال""، على غرار حني السبابة اتجاه الجسم، وهي إشارة تُستعمل في بعض الدول الغربية ولا يجب استعمالها إلا لهذا الغرض."", ""role"": ""user""},{""content"": ""واخا هكاك، ف ماليزيا، وعلى الأقل بين الملايو في الأرياف، يعني ذلك ""أجي،"" على غرار حني السبابة اتجاه الجسم، وهي إشارة كتُستخدم ف بعض الدول الغربية ومخصهاش تستخدم لهاد الغرض."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_19846","[{""content"": ""ترجم من الفصحى للدارجة: إنه يبتسم"", ""role"": ""user""},{""content"": ""كايبتاسم"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_748","[{""content"": ""ترجم من الفصحى للدارجة: تزداد شعبية الأطعمة التي يتدخل في طهوها الخبراء هذه الأيام ."", ""role"": ""user""},{""content"": ""طياب الدواقة هو اللي واخد الشهرة هاد الايام."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_13258","[{""content"": ""ترجم من الفصحى للدارجة: يا عزيزي!"", ""role"": ""user""},{""content"": ""عازيزي"", ""role"": ""assistant""}]","msa_dr","null"
"flores+_few_shot","flores+_few_shot_394","[{""content"": ""ترجم من الفصحى للدارجة: قم باستشارة المؤسسة، وكذلك قسم الهجرة للبلد التي ترغب في الدراسة بها للحصول على متطلبات مفصلة. <|assistant|> تشاور مع المؤسسة، وحتى قسم الهجرة للبلد اللي باغي تقرا فيها باش تاخد متطلبات مفصلة. <|user|> ترجم من الفصحى للدارجة: لذلك، كان عليهم التخلّص من القواعد والسفن البريطانيّة في مصر. بخلاف ذلك، لم يكن على السفن الحربيّة الإيطالية عمل أي شيء آخر. <|assistant|> على ذاكشي، كان خاصهم يتهناو من القواعد والسفن البريطانيّة في مصر. بخلاف ذلك، السفن الحربيّة الإيطالية مكانش خاصها دير شي حاجة أخرى. <|user|> ترجم من الفصحى للدارجة: على مر القرون، بنى الناس الشرفات بعناية على المناظر الطبيعية الوعرة شديدة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر. <|assistant|> فقرون دازت الناس كانو تيبنيو سطوحة فأراضي واعرة ومنحدرة اللي فالحافة اللي كتطل على لبحر. <|user|> ترجم من الفصحى للدارجة: قبل فحص من الضحية، يجب عليك أولاً مسح مسرح الجريمة لضمان سلامتك."", ""role"": ""user""},{""content"": ""باش تقلّب الضحيه، خاصّك بعْدا تضرب دويره فمسرح الجريمه باش تضمن السلامه ديالك."", ""role"": ""assistant""}]","msa_dr","null"
"doda_few_shot","doda_few_shot_4792","[{""content"": ""ترجم من الفصحى للدارجة: هل تدرس اللغة الإنجليزية؟ <|assistant|> واش كاتقرا ل أنڭلايس? <|user|> ترجم من الفصحى للدارجة: لفتح المجاري <|assistant|> باش يسرّح لقوادس <|user|> ترجم من الفصحى للدارجة: الخطة هي الحصول على سيارة أجرة إلى شقتها <|assistant|> لبلان هو نشدّ تاكسي ل پارطما ديالها <|user|> ترجم من الفصحى للدارجة: هذه هي الحياة"", ""role"": ""user""},{""content"": ""هادي هيا لحايات"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1362","[{""content"": ""ترجم من الفصحى للدارجة: لا . أنا أخطط لزيارة باريس في طريق عودتي إلى وطني . <|assistant|> لا. كا نفكر نزور باريس وانا راجع فحالي. <|user|> ترجم من الفصحى للدارجة: هذه القهوة أثقل من اللازم . <|assistant|> هاد القهوة قاصحة بزاف. <|user|> ترجم من الفصحى للدارجة: لم أشعر بأي حركة للأمعاء منذ ثلاثة أيام . <|assistant|> ما كان عندي حتى حركة فالسرج هادي تلت ايام. <|user|> ترجم من الفصحى للدارجة: هاك خمسون دولارا لو وقعت في ضائقة ."", ""role"": ""user""},{""content"": ""هاهي عندك خمسين دولار ماعرفني تحتاج ليها لوقت و الزمان."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1980","[{""content"": ""ترجم من الفصحى للدارجة: أود معجماً ياباني-إنجليزي ."", ""role"": ""user""},{""content"": ""بغيت شي ديكسيونير ب لونغلي و لعربيا."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_31078","[{""content"": ""ترجم من الفصحى للدارجة: مسحت الأوساخ عن بنطالي"", ""role"": ""user""},{""content"": ""مسحت لوسخ من سروالي"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_8782","[{""content"": ""ترجم من الفصحى للدارجة: هل لها ضمان ؟"", ""role"": ""user""},{""content"": ""واش كاينة شي ضمانة؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_11086","[{""content"": ""ترجم من الفصحى للدارجة: يوم جيد لك"", ""role"": ""user""},{""content"": ""نهارك مبروك"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_9894","[{""content"": ""ترجم من الفصحى للدارجة: فقدت حقيبتي ."", ""role"": ""user""},{""content"": ""تلف ليا الصاك ديالي."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1998","[{""content"": ""ترجم من الفصحى للدارجة: أريد إجراء مكالمة دولية . من فضلك صلني برقم ثلاثة أربعة ستة ثلاثة ثمانية واحد ثلاثة ثلاثة في طوكيو ."", ""role"": ""user""},{""content"": ""بغيت ندير اتصال للخارج . عافاك واصلني مع الرقم تلاتة ربعة ستة تلاتة تمنية واحد جوج واحد تلاتة تلاتة فطوكيو."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_14270","[{""content"": ""ترجم من الفصحى للدارجة: لا شكراً ، هذا كله ."", ""role"": ""user""},{""content"": ""لا شكرا، باراكا."", ""role"": ""assistant""}]","msa_dr","null"
"flores+_few_shot","flores+_few_shot_316","[{""content"": ""ترجم من الفصحى للدارجة: لا تُعرف في هذا الوقت التهم التي سيتم توجيهها أو ما الذي أرشد السلطات إلى الصبي ولكن الإجراءات المتعلقة بالأحداث قد بدأت في المحكمة الفيدرالية. <|assistant|> ما زال ما تعرفاتش في هاذ الوقت التهم اللي غادي توجهها أو شنو اللي خلا السلطات تدور على هاذ الولد ولكن الإجراءات المتعلقة بالأحداث بدأت في المحكمة الفيدرالية. <|user|> ترجم من الفصحى للدارجة: اشترت شركة فيرجن فقط ""البنك الجيّد"" في نورثرن روك ، وليس شركة إدارة الأصول. <|assistant|> فرجين مشراتش الشركه ديال إدارة الممتلكات و لكن شرات غِير ""كود بانك"" لّي تابع ل نورثرن روك. <|user|> ترجم من الفصحى للدارجة: في سنة 2010 وأثناء تأميمه تم فصل البنك الحالي للشارع الرئيسي نورذرن روك عن باد بنك، نورذن روك (إدارة الأصول). <|assistant|> في عام 2010 ومنين تامم تم فصل البنك الحالي للشارع الرئيسي نورذرن روك عن باد بنك، نورذن روك (إدارة الأصول). <|user|> ترجم من الفصحى للدارجة: مقبرة توت عنخ آمون (KV62). ربما تكون أشهر مقابر وادي الملوك، مشهد اكتشاف هوارد كارتر سنة 1922 للمقبرة الملكية للملك في حالة شبه كاملة."", ""role"": ""user""},{""content"": ""مدفن توت عنخ امون KV 62 هو اشكر مدافن الوادي، مشهد هوارد كارتر من العام 1922 اكتشاف مدفن ملكي الملك لصغير سليم"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_3214","[{""content"": ""ترجم من الفصحى للدارجة: ما اسم المحطة التي سأنزل عندنا ؟"", ""role"": ""user""},{""content"": ""شنو اسم المحطة فين غاننزل؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_20710","[{""content"": ""ترجم من الفصحى للدارجة: هل تريد بعض الماء؟"", ""role"": ""user""},{""content"": ""بغيتي شوييا ديال لما?"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1192","[{""content"": ""ترجم من الفصحى للدارجة: هل هذا الشارع يوصل إلى متجر سي وإيه متعدد الأقسام . <|assistant|> واش هاد الشارع كيوصل للمحل الشامل ديال سي آند إيه؟ <|user|> ترجم من الفصحى للدارجة: هذا الجلد ؟ <|assistant|> هاد الجلد؟ <|user|> ترجم من الفصحى للدارجة: ألغيت الرحلة . سنأخذكم إلى الفندق . <|assistant|> تلغات الرحلة. غا دي نديوكم للفندق. <|user|> ترجم من الفصحى للدارجة: ما نوعية المواد التي يحتوي عليها الدواء ؟"", ""role"": ""user""},{""content"": ""اشنو نوع المواد اللي كاينة فالدوا؟"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_4568","[{""content"": ""ترجم من الفصحى للدارجة: جرب شركة هيرتز في المكتب الآخر ."", ""role"": ""user""},{""content"": ""يمكن ليك تجرب هيرتز فالمكتب الآخر."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_40114","[{""content"": ""ترجم من الفصحى للدارجة: هل تعرف ما أعنيه؟"", ""role"": ""user""},{""content"": ""عرفتي أش كانقصد?"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1264","[{""content"": ""ترجم من الفصحى للدارجة: هل يمكنني تغيير هذه التذاكر إلى عرض الغد ؟"", ""role"": ""user""},{""content"": ""ممكن نبدل هاد التذاكر للعرض ديال غدا؟"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_2694","[{""content"": ""ترجم من الفصحى للدارجة: سقطت وجرحت ركبتي ."", ""role"": ""user""},{""content"": ""طحت و جرحت ركبتي بزاف."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_12520","[{""content"": ""ترجم من الفصحى للدارجة: يمكنك الذهاب إذا أردت، وتعود من أجلي"", ""role"": ""user""},{""content"": ""تقدر تمشي إلا بغيتي, ورجع ليا"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_794","[{""content"": ""ترجم من الفصحى للدارجة: هذا يعتمد على التوقيت . <|assistant|> على حسب التوقيت. <|user|> ترجم من الفصحى للدارجة: هل من الممكن أن نكمل هذه الرقصة في أي وقت آخر ؟ إني آسف . <|assistant|> يمكن نكملو هاد الرقصة مرة أخرى؟ أنا أسف. <|user|> ترجم من الفصحى للدارجة: أريد عصيراً ، من فضلك . <|assistant|> بغيت عصير، عافاك. <|user|> ترجم من الفصحى للدارجة: من فضلك أرسل هذا الطلب الخاص ."", ""role"": ""user""},{""content"": ""عافاك صيفطو فالسريع."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_904","[{""content"": ""ترجم من الفصحى للدارجة: هذه هي الطريقة"", ""role"": ""user""},{""content"": ""هادي هييّا الطاريقا"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_42616","[{""content"": ""ترجم من الفصحى للدارجة: أنت ملاك"", ""role"": ""user""},{""content"": ""نتا مالاك"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_1048","[{""content"": ""ترجم من الفصحى للدارجة: رأيت قردًا"", ""role"": ""user""},{""content"": ""شفت قرد"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_30934","[{""content"": ""ترجم من الفصحى للدارجة: في أقرب وقت ممكن"", ""role"": ""user""},{""content"": ""ف أقراب واقت مومكين"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1672","[{""content"": ""ترجم من الفصحى للدارجة: سأرسل لك هذه الصورة . اسمك وعنوانك ، من فضلك ."", ""role"": ""user""},{""content"": ""غادي نصيفط ليك هاد التصويرة . الاسم و العنوان ديالك، عافاك."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_23014","[{""content"": ""ترجم من الفصحى للدارجة: صحيح، صحيح."", ""role"": ""user""},{""content"": ""بساح, بساح"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_15576","[{""content"": ""ترجم من الفصحى للدارجة: أعتقد أن وقتنا ينفد ."", ""role"": ""user""},{""content"": ""واقيلا ماغايبقاش لينا لوقت."", ""role"": ""assistant""}]","msa_dr","null"
