"dataset
string","id
string","messages
list","direction
string","metadata
dict"
"nllb-seed","nllb-seed_4501","[{""content"": ""ترجم من الدارجة للإنجليزية: يمكن يرجع داكشي لنقص الأدوات، ولا للميول للنظر إللعالم كوحدة، ما يمكنش تعاود تبنى، ومن ثم غاد تكون عملية مراقبة العين الخارجية لأجزاء الطبيعة الدقيقة تحت الضبط التجريبي عملية ما تمكنش."", ""role"": ""user""},{""content"": ""This may have been because of a lack of instruments, or because of a tendency to view the world as a unity, undeconstructable, so it would be impossible for an external eye to observe tiny fractions of nature under experimental control."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_32469","[{""content"": ""ترجم من الدارجة للإنجليزية: أُملي شاف بلي كانت سارد, ماخلانيش ندخال."", ""role"": ""user""},{""content"": ""And when he saw that I was soaking wet, he wouldn't let me in."", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_4737","[{""content"": ""ترجم من الدارجة للإنجليزية: أشمن نوع ديال لحافلا ليخسها تكون? <|assistant|> What kind of party do you think it should be? <|user|> ترجم من الدارجة للإنجليزية: واش ماغايلحقوش عليك ناس من لخدما? <|assistant|> Aren't any of your colleagues going to join you? <|user|> ترجم من الدارجة للإنجليزية: والاكين هاد الليلا, بتاءكيد <|assistant|> but tonight, you definitely are! <|user|> ترجم من الدارجة للإنجليزية: مشات علييّا الطييّارا"", ""role"": ""user""},{""content"": ""I missed my flight"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_36603","[{""content"": ""ترجم من الدارجة للإنجليزية: واش مامومكينش ناخدو موحامي?"", ""role"": ""user""},{""content"": ""Isn't it possible to get a lawyer?"", ""role"": ""assistant""}]","dr_en","null"
"flores+","flores+_3531","[{""content"": ""ترجم من الدارجة للإنجليزية: كيقولو أن هاذي هي المرة الخامسة فالتاريخ اللي كيلاحضو فيها الناس أنه تيطيح على الأرض داكشي اللي تبين أنه مادة مريخية مؤكدة كيميائيًا."", ""role"": ""user""},{""content"": ""This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_6815","[{""content"": ""ترجم من الدارجة للإنجليزية: بالرغم من وجود مئات القلاع الخشبية في بروسيا وليفونيا، فالاستعمال ديل القرميد والملاط كان معروف في المنطقة قبل من وجود الصليبين."", ""role"": ""user""},{""content"": ""Although there were hundreds of wooden castles in Prussia and Livonia, the use of bricks and mortar was unknown in the region before the Crusaders."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_16143","[{""content"": ""ترجم من الدارجة للإنجليزية: بغيت نشري زيت أرڭان"", ""role"": ""user""},{""content"": ""I want to buy argan oil"", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_681","[{""content"": ""ترجم من الدارجة للإنجليزية: هادشي لي كاين? <|assistant|> That's it? <|user|> ترجم من الدارجة للإنجليزية: خرج إضربك شويا تلبرد <|assistant|> Get some fresh air <|user|> ترجم من الدارجة للإنجليزية: واش شفتيها من قبل <|assistant|> Have you seen her before? <|user|> ترجم من الدارجة للإنجليزية: واش دايرين تخفيض?"", ""role"": ""user""},{""content"": ""do you offer a discount?"", ""role"": ""assistant""}]","dr_en","null"
"doda_multi_turns","doda_multi_turns_1803","[{""content"": ""ترجم من الدارجة للإنجليزية: أنا غادي غدّا"", ""role"": ""user""},{""content"": ""I'm leaving tomorrow"", ""role"": ""assistant""},{""content"": ""ترجم: عومومان"", ""role"": ""user""},{""content"": ""In general"", ""role"": ""assistant""},{""content"": ""ترجم: كاندور فبلاستي من شحال هادا"", ""role"": ""user""},{""content"": ""I have been walking in circles for ages"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_5963","[{""content"": ""ترجم من الدارجة للإنجليزية: النمط الظاهري هي المجموعة الكاملة ديل المميزات اللي تقدر تشاف واللي كتكون بنية وسلوك الكائن الحي."", ""role"": ""user""},{""content"": ""The complete set of observable traits that make up the structure and behaviour of an organism is called its phenotype."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_36987","[{""content"": ""ترجم من الدارجة للإنجليزية: أنا أُستاد ديال الفلسفة"", ""role"": ""user""},{""content"": ""I am a philosophy teacher"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_35451","[{""content"": ""ترجم من الدارجة للإنجليزية: شحال تلوقت أُ هادشي كايوقاع"", ""role"": ""user""},{""content"": ""How long has it been going on?"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_11709","[{""content"": ""ترجم من الدارجة للإنجليزية: هادشي كيضاحك صاراحا"", ""role"": ""user""},{""content"": ""That's really hilarious"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_28623","[{""content"": ""ترجم من الدارجة للإنجليزية: هيا داولا ماكانعرافش عليها بزاف"", ""role"": ""user""},{""content"": ""It's a country I know very little about"", ""role"": ""assistant""}]","dr_en","null"
"doda_multi_turns","doda_multi_turns_4305","[{""content"": ""ترجم من الدارجة للإنجليزية: خالينا نمشيو بزاربا باش نادفاو"", ""role"": ""user""},{""content"": ""Let's try to walk a little faster to warm ourselves."", ""role"": ""assistant""},{""content"": ""ترجم: هادشي غير كايزيد ياخياب"", ""role"": ""user""},{""content"": ""this just gets worse and worse"", ""role"": ""assistant""},{""content"": ""ترجم: ماشي موهيم, نتمشاو ف الجردا?"", ""role"": ""user""},{""content"": ""It doesn't matter, we walk in the park?"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_8991","[{""content"": ""ترجم من الدارجة للإنجليزية: من بعد في القرنين الخامس عشر والسادس عشر ولات بروكسل المكان اللي كتجتمع فيه الولايات العامة."", ""role"": ""user""},{""content"": ""Later in the 15th and 16th centuries Brussels became the place where the States General assembled."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_9417","[{""content"": ""ترجم من الدارجة للإنجليزية: إمكان لينا نشاربو من جوج"", ""role"": ""user""},{""content"": ""we can drink from two"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_37971","[{""content"": ""ترجم من الدارجة للإنجليزية: عيّيت بزّاف"", ""role"": ""user""},{""content"": ""I'm so tired"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_3855","[{""content"": ""ترجم من الدارجة للإنجليزية: شنو سميتك"", ""role"": ""user""},{""content"": ""what's your name"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_7941","[{""content"": ""ترجم من الدارجة للإنجليزية: سير تنعس"", ""role"": ""user""},{""content"": ""Go to sleep"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_33003","[{""content"": ""ترجم من الدارجة للإنجليزية: كنت ف أسيا"", ""role"": ""user""},{""content"": ""I have been to Asia"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_43407","[{""content"": ""ترجم من الدارجة للإنجليزية: وايه, غاندير هادشي تاهوا"", ""role"": ""user""},{""content"": ""Yeah, I'm gonna do that, too."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_7571","[{""content"": ""ترجم من الدارجة للإنجليزية: اللسانيين لخرين نجزو أبحاث فمجال تواصل اللغات، الإندثار اللغوي والإنجليزية كلغة عالمية"", ""role"": ""user""},{""content"": ""Other linguists have carried out research in the areas of language contact, language endangerment, and 'English as a global language'."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_15261","[{""content"": ""ترجم من الدارجة للإنجليزية: أُ غادي نتأكدو بيلا ماغاديش نموتو بجوع"", ""role"": ""user""},{""content"": ""Then we'll make sure we don't starve to death"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_41721","[{""content"": ""ترجم من الدارجة للإنجليزية: هادشي مبرّع."", ""role"": ""user""},{""content"": ""That's great."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_22377","[{""content"": ""ترجم من الدارجة للإنجليزية: كاتعرفو شخصيّان, داكشي علاش كاتفضّلو"", ""role"": ""user""},{""content"": ""You know him personally, so you favor him"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_20277","[{""content"": ""ترجم من الدارجة للإنجليزية: لواضع ديالو ماكايخاليهش يحات راسو فبلاستاك"", ""role"": ""user""},{""content"": ""His situation doesn't make him put himself in your position"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_35457","[{""content"": ""ترجم من الدارجة للإنجليزية: كاتعيّط عليا ب سميت خويا, أُ خسّني نغووّت أُنبدا نعاود لهدرا"", ""role"": ""user""},{""content"": ""She calls me by my brother's name, and I have to shout and keep repeating myself"", ""role"": ""assistant""}]","dr_en","null"
"flores+","flores+_261","[{""content"": ""ترجم من الدارجة للإنجليزية: الفوتونات صغار حتى من المادة اللي كتكون الذرات!"", ""role"": ""user""},{""content"": ""Photons are even smaller than the stuff that makes up atoms!"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3333","[{""content"": ""ترجم من الدارجة للإنجليزية: واقترح نعوم تشومسكي باش تدرس اللغة من منظور اللغة الأولى ولا اللغة الداخلية للأشخاص."", ""role"": ""user""},{""content"": ""Noam Chomsky proposed that the study of language could be done in terms of the I-Language, or internal language of persons."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_8751","[{""content"": ""ترجم من الدارجة للإنجليزية: قال ثيودور مومسن في كتابه ""تاريخ روما"" أن روما انهارت مع انهيار الإمبراطورية الرومانية الغربية في عام 476 م، و أيضا اتجه باش يدير مقارنة بيولوجية لمصطلحات بحال ""النشأة"" و""النمو"" و""الشيخوخة"" و ""الانهيار"" و""الاضمحلال""."", ""role"": ""user""},{""content"": ""Theodor Mommsen in his History of Rome suggested Rome collapsed with the collapse of the Western Roman Empire in 476 CE and he also tended towards a biological analogy of ""genesis"", ""growth"", ""senescence"", ""collapse"" and ""decay""."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_1383","[{""content"": ""ترجم من الدارجة للإنجليزية: الاستنساخ هو عملية إنتاج كائنات حية فردية عندها حمض نووي متطابق ولا شبه متطابق، إما بالوسائل الطبيعية ولا الاصطناعية."", ""role"": ""user""},{""content"": ""Cloning is the process of producing individual organisms with either identical or virtually identical DNA, either by natural or artificial means."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_33603","[{""content"": ""ترجم من الدارجة للإنجليزية: تطبلا مدوّرا"", ""role"": ""user""},{""content"": ""the table is round"", ""role"": ""assistant""}]","dr_en","null"
"flores+","flores+_1659","[{""content"": ""ترجم من الدارجة للإنجليزية: واخا خروتشوف ف التالي صيفط دبابات باش بفرض النظام، ولكن خلا المجال لشي مطالب اقتصادية ووافق باش يعين فلاديسلاف جومولكا المشهور رئيس للوزراء."", ""role"": ""user""},{""content"": ""Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_21837","[{""content"": ""ترجم من الدارجة للإنجليزية: كانقصد, إلا شفنا شحال كانخلص كولّا شهر, هامدولّاه أنّاهوم فابور."", ""role"": ""user""},{""content"": ""I mean, given what it costs me every month, luckily it's free."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_2403","[{""content"": ""ترجم من الدارجة للإنجليزية: وخا كاين صحف في 39 لغة، إلا أنو تم إصدار 91 بالمائة من المقالات المفهرسة باللغة الإنجليزية."", ""role"": ""user""},{""content"": ""Although the journals are in 39 languages, 91 percent of the indexed articles are published in English."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_27657","[{""content"": ""ترجم من الدارجة للإنجليزية: دقّ فلباب"", ""role"": ""user""},{""content"": ""knock the door"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_18891","[{""content"": ""ترجم من الدارجة للإنجليزية: غادي تجيب ليك كاسّ ديال لما."", ""role"": ""user""},{""content"": ""She'll bring you a glass of water."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_2481","[{""content"": ""ترجم من الدارجة للإنجليزية: واش نتي توريست?"", ""role"": ""user""},{""content"": ""Are you a tourist?"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_32697","[{""content"": ""ترجم من الدارجة للإنجليزية: خالينا نمشيو ناديرو شويا ت ريمايا"", ""role"": ""user""},{""content"": ""Let us go do some archery"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3293","[{""content"": ""ترجم من الدارجة للإنجليزية: كتبان متعددات الحدود فبزاف من مجالات الرياضيات والعلوم."", ""role"": ""user""},{""content"": ""Polynomials appear in many areas of mathematics and science."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_7331","[{""content"": ""ترجم من الدارجة للإنجليزية: في عام 2010، تلقّات المكتبة تبرع تيوصل لـ 500,000 كتاب من مكتبة فرنسا الوطنية (بي إن إف)."", ""role"": ""user""},{""content"": ""In 2010, the library received a donation of 500,000 books from the National Library of France, Bibliothèque nationale de France (BnF)."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_35049","[{""content"": ""ترجم من الدارجة للإنجليزية: كانضن أيخاسنا نخادمو غير ب لماكلا ليبقات من لبارح"", ""role"": ""user""},{""content"": ""I guess we'll just have to use leftovers from yesterday"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_20973","[{""content"": ""ترجم من الدارجة للإنجليزية: هادا موشكيل"", ""role"": ""user""},{""content"": ""That's a problem"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_6975","[{""content"": ""ترجم من الدارجة للإنجليزية: تانهضر علا مرّاكش"", ""role"": ""user""},{""content"": ""I'm talking about Marrakech"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_27165","[{""content"": ""ترجم من الدارجة للإنجليزية: لموديرين لخرين فلموساتاوا ديالو, ماكانعرفوش عليهوم بزاف"", ""role"": ""user""},{""content"": ""The other managers of his level, we don't know much about them"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_19101","[{""content"": ""ترجم من الدارجة للإنجليزية: أُ إلا كان هاكاك, إمتا?"", ""role"": ""user""},{""content"": ""If so, when?"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_5925","[{""content"": ""ترجم من الدارجة للإنجليزية: حنا عارفين أن النقاشات لي دارت على الإرادة الحرة استمرت في الاحتدام (فمثلاً، في المحادثات المشهورة بين إيراسموس ومارتن لوثر)، وأن المفكرين السبليونيين كانوا مهووسين بشكل كبير بفكرة النبلاء، وأن النزاع كان أحد الممارسات لي أدّت لتشكيل الكثير من الأعمال الأدبية في القرن السطاش (واش كان الأمر مسموح به وْلاَّ لا؟)."", ""role"": ""user""},{""content"": ""We know that debates about the freedom of the will continued to flare up (for instance, in the famous exchanges between Erasmus and Martin Luther), that Spanish thinkers were increasingly obsessed with the notion of nobility, that duelling was a practice that generated a large literature in the sixteenth century (was it permissible or not?)."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed_few_shot","nllb-seed_few_shot_979","[{""content"": ""ترجم من الدارجة للإنجليزية: كانت الفائدة ديل هاد الأشياء متأصلة في وظائفها العملية. <|assistant|> The utility of these things was inherent in their practical functions. <|user|> ترجم من الدارجة للإنجليزية: تتستمد فكرة الذات كنواة أساسية ثابتة من فكرة الروح لي ماشي مادية. <|assistant|> The idea of a self as an immutable essential nucleus derives from the idea of an immaterial soul. <|user|> ترجم من الدارجة للإنجليزية: .هاد الدور كيتعتبر هو أحد أعظم أدوار براندو على الإطلاق <|assistant|> The role is regarded as one of Brando's greatest. <|user|> ترجم من الدارجة للإنجليزية: تعزيز الروابط الجزرية يقدر يتسبب فحدوث آثار متنوعة بحال التهميش العرقي أو العزلة الاجتماعية."", ""role"": ""user""},{""content"": ""The strengthening of insular ties can lead to a variety of effects such as ethnic marginalization or social isolation."", ""role"": ""assistant""}]","dr_en","null"
"flores+","flores+_2847","[{""content"": ""ترجم من الدارجة للإنجليزية: ليغلاسيير متيكونوش سطابل، ولكن تينزلو تحت الجبل. وداكشي تيسبب شقات ممكن تغطيها لقناطر دالثلج."", ""role"": ""user""},{""content"": ""The glaciers are not stable, but flow down the mountain. This will cause cracks, crevasses, which may be obscured by snow bridges."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_21771","[{""content"": ""ترجم من الدارجة للإنجليزية: غادي نتقايّا"", ""role"": ""user""},{""content"": ""I'm gonna throw up"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3285","[{""content"": ""ترجم من الدارجة للإنجليزية: تيتّاخذو الباحثين حاليًا من هاد الكتاب مرجع في الاطلاع على القطع بالاستعانة بمخطط ترميز تيتسمّى ترقيم ديلز كرانز."", ""role"": ""user""},{""content"": ""Scholars now use this book to reference the fragments using a coding scheme called Diels–Kranz numbering."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_16935","[{""content"": ""ترجم من الدارجة للإنجليزية: كاندن شي شاراب إقدر إهاداءنا."", ""role"": ""user""},{""content"": ""Maybe a drink will calm us."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_28275","[{""content"": ""ترجم من الدارجة للإنجليزية: واش نقدر نخروج?"", ""role"": ""user""},{""content"": ""May I go out?"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_38067","[{""content"": ""ترجم من الدارجة للإنجليزية: معا موكاعاب ديال تالج"", ""role"": ""user""},{""content"": ""with an ice cube"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_10287","[{""content"": ""ترجم من الدارجة للإنجليزية: كانقدر نسمع الصفارة ديال تران ديالي داكشي علاش خاصني نجري"", ""role"": ""user""},{""content"": ""I can hear my train whistle blowing so I should run"", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_4275","[{""content"": ""ترجم من الدارجة للإنجليزية: كانخاف نشوف من شرجم ديالي ف الطبقا تانيا ف الدار! <|assistant|> I'm scared looking out of my second-floor window at home! <|user|> ترجم من الدارجة للإنجليزية: ضربنا واحاد لغدا كتير <|assistant|> We had a huge lunch... <|user|> ترجم من الدارجة للإنجليزية: الرملا كانت بيضا <|assistant|> The sand was white <|user|> ترجم من الدارجة للإنجليزية: والاكين راه نقدّو نعومو شويا"", ""role"": ""user""},{""content"": ""But we can also swim a little"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_24645","[{""content"": ""ترجم من الدارجة للإنجليزية: كيدازت الدويرا لبارح?"", ""role"": ""user""},{""content"": ""How was the tour yesterday?"", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_2295","[{""content"": ""ترجم من الدارجة للإنجليزية: واش جمعتي شي فلوس? <|assistant|> did you save any money? <|user|> ترجم من الدارجة للإنجليزية: أُ كاندان بلي خاسنا نحافدو عليه قبال مايدوب <|assistant|> and I think we should save it before it does <|user|> ترجم من الدارجة للإنجليزية: إلا ماكنتيش كاتعجباك ريمايا, أش باليك ف تاسلّوق لحجر? <|assistant|> If you don't like archery, how about rock climbing? <|user|> ترجم من الدارجة للإنجليزية: بغيتي واحد?"", ""role"": ""user""},{""content"": ""Would you like one?"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_2247","[{""content"": ""ترجم من الدارجة للإنجليزية: عندي جتيماع موهيم خاسني نحضار ليه."", ""role"": ""user""},{""content"": ""I have a very important meeting to attend."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_15471","[{""content"": ""ترجم من الدارجة للإنجليزية: إقدار تكون لعافيا!"", ""role"": ""user""},{""content"": ""It could be a fire!"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_347","[{""content"": ""ترجم من الدارجة للإنجليزية: وفاش تتكون النواة الناتجة أخف فالوزن من النواة ديال الحديد، تتطلق الطاقة بصورة طبيعية؛ وملّي تتكون النواة أثقل فالوزن من النواة ديال الحديد، تتمتص الطاقة بشكل عام."", ""role"": ""user""},{""content"": ""When the resulting nucleus is lighter than that of iron, energy is normally released; when the nucleus is heavier than that of iron, energy is generally absorbed."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3583","[{""content"": ""ترجم من الدارجة للإنجليزية: ولد مقرض كحل الرجلين: فعام 2020، دار فريق من العلماء استنساخ أنثى سميتها ويلا، اللي ماتت فنص الثمانينيات ومخلاتش حتى شي نسل حي (2020)."", ""role"": ""user""},{""content"": ""Black-footed ferret: (2020) In 2020, a team of scientists cloned a female named Willa, who died in the mid-1980s and left no living descendants."", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_3885","[{""content"": ""ترجم من الدارجة للإنجليزية: كولشي عارف <|assistant|> Everyone knows <|user|> ترجم من الدارجة للإنجليزية: يمكان نخدمو بيهوم كا بيدايا أُنڭادّو تاباق ديال لحام من بعد. <|assistant|> Perhaps we could use them as a starter and then do a meat dish. <|user|> ترجم من الدارجة للإنجليزية: ريحت الطياب كاتجيب لييّا الجوع <|assistant|> The smell of cooking makes me hungry <|user|> ترجم من الدارجة للإنجليزية: كانت هي مسألات وقت."", ""role"": ""user""},{""content"": ""It was only a matter of time."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_2441","[{""content"": ""ترجم من الدارجة للإنجليزية: تتجي من ورا داكشي عملية وضع رموز للقطعة حيث تيشير الرمز ""أ"" إلى أنها عن مخطوطة، ويشير الرمز ""ب"" إلى أنها اقتباس مباشر تيرجع إلى الفيلسوف."", ""role"": ""user""},{""content"": ""After that is a code regarding whether the fragment is a testimonia, coded as ""A"", or ""B"" if is a direct quote from the philosopher."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_5617","[{""content"": ""ترجم من الدارجة للإنجليزية: كتكتب الأرقام السالبة عادة بعلامة السالب (إشارة الطرح)."", ""role"": ""user""},{""content"": ""Negative numbers are usually written with a negative sign (a minus sign)."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_6121","[{""content"": ""ترجم من الدارجة للإنجليزية: وفي مهرجان كان، ربحت غيش عشر دقائق من التصفيق الحار من الجمهور."", ""role"": ""user""},{""content"": ""At the Cannes festival, Gish won a 10-minute standing ovation from the audience."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_34851","[{""content"": ""ترجم من الدارجة للإنجليزية: أنا من لمغريب."", ""role"": ""user""},{""content"": ""I am from Morocco."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_36609","[{""content"": ""ترجم من الدارجة للإنجليزية: أيه عافاك, غادي يكون هادشي زوين"", ""role"": ""user""},{""content"": ""Yes please, that would be great"", ""role"": ""assistant""}]","dr_en","null"
